Date,Clicks,Impressions,CTR,Position
2026-06-04,0,52,0%,30.7
2026-06-05,0,35,0%,23.7
2026-06-06,0,68,0%,19.2
2026-06-07,2,118,1.69%,13.1
2026-06-08,0,97,0%,13.8
2026-06-09,1,85,1.18%,13.8
2026-06-10,2,104,1.92%,14
2026-06-11,2,112,1.79%,15.1
2026-06-12,1,257,0.39%,32
2026-06-13,0,37,0%,34.1
2026-06-14,0,22,0%,26.9
2026-06-15,2,5,40%,20
2026-06-16,0,10,0%,24.8
2026-06-17,1,12,8.33%,17.8
2026-06-18,0,24,0%,12.3
2026-06-19,1,37,2.7%,15.2
2026-06-20,0,45,0%,24.8
2026-06-21,1,77,1.3%,9.6
2026-06-22,1,98,1.02%,20.3
2026-06-23,2,114,1.75%,20.3
2026-06-24,1,92,1.09%,22.4
2026-06-25,1,111,0.9%,24.1
2026-06-26,0,134,0%,21.1
2026-06-27,3,154,1.95%,20.3
2026-06-28,0,176,0%,17.3
2026-06-29,2,154,1.3%,12.7
2026-06-30,0,222,0%,14.8
2026-07-01,1,213,0.47%,14.8
2026-07-02,1,210,0.48%,16.5
2026-07-03,2,246,0.81%,15.3
2026-07-04,3,287,1.05%,22
2026-07-05,3,356,0.84%,23.5
2026-07-06,4,416,0.96%,24.9
2026-07-07,3,450,0.67%,23.1
2026-07-08,10,460,2.17%,23
2026-07-09,5,399,1.25%,24.6
2026-07-10,3,399,0.75%,30.6
2026-07-11,6,714,0.84%,40.7
2026-07-12,2,431,0.46%,28.6
2026-07-13,7,387,1.81%,19.4
2026-07-14,5,332,1.51%,17.1
2026-07-15,3,363,0.83%,18.5
2026-07-16,5,368,1.36%,16.4
2026-07-17,4,342,1.17%,17.4
2026-07-18,8,290,2.76%,21.4
2026-07-19,11,353,3.12%,18.3
2026-07-20,3,370,0.81%,18.4
2026-07-21,6,442,1.36%,15.2
2026-07-22,10,514,1.95%,12.7
2026-07-23,9,572,1.57%,7.4
2026-07-24,13,480,2.71%,7.5
2026-07-25,4,275,1.45%,9.3
2026-07-26,7,357,1.96%,8.8
2026-07-27,7,376,1.86%,8.2
2026-07-28,3,270,1.11%,8.1
2026-07-29,2,328,0.61%,10.4
2026-07-30,12,373,3.22%,12.2
2026-07-31,10,375,2.67%,9
2026-08-01,10,456,2.19%,8.5
2026-08-02,16,452,3.54%,7.8
2026-08-03,14,559,2.5%,7.2
2026-08-04,15,693,2.16%,8.6
2026-08-05,23,768,2.99%,7.7
2026-08-06,9,737,1.22%,9.5
2026-08-07,16,654,2.45%,7.1
2026-08-08,13,587,2.21%,7.1
2026-08-09,13,689,1.89%,8.1
2026-08-10,13,752,1.73%,4.7
2026-08-11,15,795,1.89%,7
2026-08-12,11,759,1.45%,7.1
2026-08-13,11,812,1.35%,5.9
2026-08-14,21,847,2.48%,5.2
2026-08-15,18,583,3.09%,5.5
2026-08-16,11,587,1.87%,6.1
2026-08-17,25,787,3.18%,6.4
2026-08-18,16,949,1.69%,7
2026-08-19,16,1095,1.46%,7
2026-08-20,19,1088,1.75%,6.7
2026-08-21,17,1033,1.65%,8.3
2026-08-22,12,716,1.68%,8.2
2026-08-23,15,863,1.74%,8.5
2026-08-24,36,1146,3.14%,6.7
2026-08-25,23,1263,1.82%,7.6
2026-08-26,17,767,2.22%,11.5
2026-08-27,13,611,2.13%,10.6
2026-08-28,12,504,2.38%,11.3
2026-08-29,7,445,1.57%,13.8
2026-08-30,7,461,1.52%,10
2026-08-31,13,627,2.07%,9.8
2026-09-01,13,610,2.13%,9.1
2026-09-02,7,537,1.3%,9.8
2026-09-03,11,519,2.12%,11.4
