Country,Clicks,Impressions,CTR,Position
Netherlands,650,33845,1.92%,12.34
Belgium,18,1737,1.04%,5.98
France,6,218,2.75%,5.17
Spain,4,205,1.95%,6.26
Germany,3,549,0.55%,7.18
United States,2,859,0.23%,8.19
Austria,2,49,4.08%,5.37
Croatia,2,35,5.71%,3.49
Australia,2,13,15.38%,4.92
China,2,12,16.67%,2.25
Romania,2,8,25%,4.12
United Kingdom,1,306,0.33%,8.28
Italy,1,125,0.8%,6.63
Turkey,1,67,1.49%,7.88
India,1,60,1.67%,44.33
Portugal,1,42,2.38%,6.76
Suriname,1,37,2.7%,4.51
Canada,1,30,3.33%,7.57
Denmark,1,18,5.56%,4.61
Finland,1,7,14.29%,7.14
Costa Rica,1,3,33.33%,24.67
United Arab Emirates,0,71,0%,7.06
Greece,0,50,0%,6.5
Sweden,0,38,0%,7.08
Morocco,0,37,0%,5.95
Indonesia,0,34,0%,21.82
Philippines,0,27,0%,46.74
Poland,0,26,0%,7.23
Curaçao,0,22,0%,5.18
Thailand,0,22,0%,13.77
Switzerland,0,19,0%,4.63
Norway,0,19,0%,6.16
Brazil,0,18,0%,10.17
Hungary,0,17,0%,4.06
South Korea,0,15,0%,29.8
Czechia,0,13,0%,3.69
Japan,0,13,0%,4.23
Ukraine,0,13,0%,10.69
Singapore,0,12,0%,5.17
Vietnam,0,12,0%,22.17
Israel,0,11,0%,4.18
Russia,0,11,0%,19
Malta,0,9,0%,3.33
Egypt,0,9,0%,8.56
Luxembourg,0,8,0%,4.38
Tunisia,0,8,0%,8.38
Argentina,0,8,0%,16.25
Caribbean Netherlands,0,7,0%,5.29
Aruba,0,7,0%,5.43
Ireland,0,7,0%,6.86
Colombia,0,7,0%,21
Bangladesh,0,7,0%,34.71
Slovenia,0,6,0%,1.83
Albania,0,6,0%,4.33
Bulgaria,0,6,0%,6.17
Iran,0,6,0%,7.83
Mexico,0,6,0%,11.67
Ecuador,0,6,0%,20.17
Bosnia & Herzegovina,0,5,0%,3.2
Iceland,0,5,0%,5
Tanzania,0,5,0%,5.8
South Africa,0,5,0%,7.2
Latvia,0,4,0%,3.5
Malaysia,0,4,0%,7.25
Taiwan,0,4,0%,7.25
Serbia,0,4,0%,13.25
Lithuania,0,4,0%,17.25
Kenya,0,4,0%,41.75
Algeria,0,4,0%,52.5
Montenegro,0,3,0%,3.67
Dominican Republic,0,3,0%,12.33
Peru,0,3,0%,15.67
Pakistan,0,3,0%,34.33
Saudi Arabia,0,2,0%,3
Unknown Region,0,2,0%,3
Cape Verde,0,2,0%,3.5
Georgia,0,2,0%,3.5
Oman,0,2,0%,4.5
Slovakia,0,2,0%,4.5
Syria,0,2,0%,5.5
New Zealand,0,2,0%,6.5
Congo - Kinshasa,0,2,0%,7.5
Ghana,0,2,0%,7.5
Hong Kong,0,2,0%,7.5
Venezuela,0,2,0%,7.5
Nicaragua,0,2,0%,8
Iraq,0,2,0%,24
Chile,0,2,0%,30
Nigeria,0,2,0%,33
Sri Lanka,0,1,0%,1
Monaco,0,1,0%,1
Maldives,0,1,0%,1
Kosovo,0,1,0%,1
Qatar,0,1,0%,5
Uganda,0,1,0%,5
Kazakhstan,0,1,0%,7
Panama,0,1,0%,7
Kyrgyzstan,0,1,0%,8
Uruguay,0,1,0%,8
Andorra,0,1,0%,9
Jamaica,0,1,0%,9
Senegal,0,1,0%,9
Moldova,0,1,0%,10
Sudan,0,1,0%,10
Fiji,0,1,0%,14
Guatemala,0,1,0%,33
Bhutan,0,1,0%,42
El Salvador,0,1,0%,50
Guyana,0,1,0%,53
Uzbekistan,0,1,0%,75
